Year,Region,Population Growth (%),Urbanization Rate (%),Infrastructure Growth (%),Poverty Rate (%),Slum Growth (%)
2016,"Aliganj, Lucknow",1.07,1.26,4.59,22.28,2.42
2017,"Aliganj, Lucknow",0.55,2.07,4.77,21.93,4.89
2018,"Aliganj, Lucknow",0.7,2.14,4.39,20.51,1.36
2019,"Aliganj, Lucknow",1.37,2.22,4.19,25.22,4.08
2020,"Aliganj, Lucknow",1.5,1.43,3.21,25.52,4.81
2021,"Aliganj, Lucknow",0.62,2.07,2.94,14.51,3.02
2022,"Aliganj, Lucknow",1.41,1.02,4.34,26.4,4.86
2023,"Aliganj, Lucknow",0.77,2.19,3.28,16.7,3.26
2024,"Aliganj, Lucknow",1.67,1.05,4.91,26.2,4
2025,"Aliganj, Lucknow",1.64,1.78,4.25,17.74,4.59
1995,"Vikas Nagar, Lucknow",1.12,1.05,4.01,26.9,2.42
1996,"Vikas Nagar, Lucknow",0.57,2.97,2.79,12.53,2.48
1997,"Vikas Nagar, Lucknow",1.61,1.59,3.72,18.31,1.47
1998,"Vikas Nagar, Lucknow",1,2.45,3.84,12.4,1.65
1999,"Vikas Nagar, Lucknow",1.46,2.63,3.05,21.91,1.68
2000,"Vikas Nagar, Lucknow",0.97,1.04,4.3,18.02,4.26
2001,"Vikas Nagar, Lucknow",1.56,2.66,2.86,13.7,4.89
2002,"Vikas Nagar, Lucknow",1.58,2.67,2.04,17.09,3.97
2003,"Vikas Nagar, Lucknow",0.62,2.13,3.29,10.35,1.94
2004,"Vikas Nagar, Lucknow",0.93,1.22,3.89,14.85,2.11
2005,"Vikas Nagar, Lucknow",1.85,1.93,3.18,24.48,4.64
2006,"Vikas Nagar, Lucknow",0.54,1.9,3.83,16.37,4.09
2007,"Vikas Nagar, Lucknow",1.96,2.89,2.8,14.53,4.83
2008,"Vikas Nagar, Lucknow",1.19,1.42,4.12,15.69,2.07
2009,"Vikas Nagar, Lucknow",1.82,1.32,2.19,15.38,3.43
2010,"Vikas Nagar, Lucknow",0.68,1.94,3.88,26.97,1.92
2011,"Vikas Nagar, Lucknow",1.73,1.47,4.03,18.61,1.46
2012,"Vikas Nagar, Lucknow",1.57,1.44,2.53,17.17,3.61
2013,"Vikas Nagar, Lucknow",0.85,1.37,2.03,19.43,2.71
2014,"Vikas Nagar, Lucknow",0.85,1.11,3.29,25.76,3.86
2015,"Vikas Nagar, Lucknow",1.79,1.02,4.9,16.83,4.96
2016,"Vikas Nagar, Lucknow",0.88,1.94,3.06,17.12,4.37
2017,"Vikas Nagar, Lucknow",1.62,2.98,3.84,19.27,1.36
2018,"Vikas Nagar, Lucknow",1.99,2.1,4.1,18.13,3.19
2019,"Vikas Nagar, Lucknow",1.91,1.33,2.88,13.04,4.17
2020,"Vikas Nagar, Lucknow",0.59,1.16,2.9,20.28,2.63
2021,"Vikas Nagar, Lucknow",0.57,2.91,4.86,15.59,3.93
2022,"Vikas Nagar, Lucknow",1.37,1.47,2.79,19.82,2.68
2023,"Vikas Nagar, Lucknow",0.94,2.62,3.44,23.1,1.76
2024,"Vikas Nagar, Lucknow",1.3,1.64,3.58,25.62,4.08
2025,"Vikas Nagar, Lucknow",1.03,2.39,4.82,22.51,1.59
1995,"Area Code: None, Lucknow",2.8,3.78,1.45,68.39,7.07
1996,"Area Code: None, Lucknow",3.48,4.08,1.38,59.87,11.49
1997,"Area Code: None, Lucknow",1.62,2.55,1.94,56.03,8.78
1998,"Area Code: None, Lucknow",3.02,3.31,0.52,62.09,12.32
1999,"Area Code: None, Lucknow",1.83,4.39,0.84,53.73,6.15
2000,"Area Code: None, Lucknow",2.71,2.94,1.03,64.81,5.1
2001,"Area Code: None, Lucknow",3.1,3.43,1.98,57.68,5.55
2002,"Area Code: None, Lucknow",1.6,4.21,1.76,50.38,11.18
2003,"Area Code: None, Lucknow",2.48,4.42,1.92,69.52,13.66
2004,"Area Code: None, Lucknow",3.32,2.54,1.75,61.27,14.63
2005,"Area Code: None, Lucknow",2.64,2.21,1.4,60.6,7.2
2006,"Area Code: None, Lucknow",2.29,3.5,1.06,51.25,6.33
2007,"Area Code: None, Lucknow",3.38,3.88,0.5,62.97,12.4
2008,"Area Code: None, Lucknow",1.52,2.92,1.41,53.58,12.78
2009,"Area Code: None, Lucknow",2.35,2.38,1.96,47.26,12.18
2010,"Area Code: None, Lucknow",1.79,2.82,1.16,45.77,9.5
2011,"Area Code: None, Lucknow",1.81,3.4,1.5,41.87,13.71
2012,"Area Code: None, Lucknow",1.87,2.56,1.49,54.06,9.99
2013,"Area Code: None, Lucknow",1.76,4.01,1.43,44.06,8.74
2014,"Area Code: None, Lucknow",3.12,3.42,0.66,51.18,7.43
2015,"Area Code: None, Lucknow",2.53,4.11,1.15,53,14.05
2016,"Area Code: None, Lucknow",2.65,3.42,0.89,58.23,10.76
2017,"Area Code: None, Lucknow",2.29,4.48,1.82,62.49,10.37
2018,"Area Code: None, Lucknow",2.42,2.46,0.96,63.22,9.54
2019,"Area Code: None, Lucknow",3.26,2.37,1.26,59.41,10.17
2020,"Area Code: None, Lucknow",3.28,4.47,0.67,43.9,6.3
2021,"Area Code: None, Lucknow",2.86,2.93,1.6,52.16,11.28
2022,"Area Code: None, Lucknow",3.04,3.37,1.31,42.65,9.11
2023,"Area Code: None, Lucknow",2.59,3.15,1.85,67.2,13.22
2024,"Area Code: None, Lucknow",2.25,3.79,1.09,46.98,8.43
2025,"Area Code: None, Lucknow",1.64,2.83,1.19,68.66,8.13
1995,"Seminary Hills, Nagpur",1.08,1.41,2.19,11.59,4.04
1996,"Seminary Hills, Nagpur",1.17,2.45,4.05,12.71,1.57
1997,"Seminary Hills, Nagpur",1.63,2.44,3.13,11.55,1.05
1998,"Seminary Hills, Nagpur",0.93,1.02,2.69,18.39,1.49
1999,"Seminary Hills, Nagpur",0.66,2.79,3.76,28.69,2.38
2000,"Seminary Hills, Nagpur",1.52,1.41,3.86,12.59,1.01
2001,"Seminary Hills, Nagpur",1.9,2.11,4.78,16.68,2.31
2002,"Seminary Hills, Nagpur",1.1,2.41,3.7,28.51,1.1
2003,"Seminary Hills, Nagpur",1.56,1.66,2.54,20.21,3.02
2004,"Seminary Hills, Nagpur",0.71,1.4,3.22,18.18,2.27
2005,"Seminary Hills, Nagpur",0.72,1.01,4.91,28.87,2.93
2006,"Seminary Hills, Nagpur",1.99,2.35,2.21,12.35,4.66
2007,"Seminary Hills, Nagpur",1.45,2.69,4.69,18.96,1.19
2008,"Seminary Hills, Nagpur",0.78,1.13,2.57,18.21,1.47
2009,"Seminary Hills, Nagpur",0.75,1.89,3.02,19.35,2.72
2010,"Seminary Hills, Nagpur",1.47,2.87,2.32,11.99,4.41
2011,"Seminary Hills, Nagpur",1.26,2.53,2.65,26.58,4.7
2012,"Seminary Hills, Nagpur",1.45,1.21,4.69,25.85,4
2013,"Seminary Hills, Nagpur",0.56,2.6,2.41,14.45,3.31
2014,"Seminary Hills, Nagpur",0.9,2.32,3.82,12.16,3.62
2015,"Seminary Hills, Nagpur",1.89,1.32,3.79,16.84,2.84
2016,"Seminary Hills, Nagpur",0.93,1.71,2.09,29.63,3.5
2017,"Seminary Hills, Nagpur",1.25,1.77,3.62,17.6,2.44
2018,"Seminary Hills, Nagpur",1.2,1.55,2.54,21.13,4.37
2019,"Seminary Hills, Nagpur",0.73,1.07,2.74,29.59,4.32
2020,"Seminary Hills, Nagpur",1.39,2.86,3.34,29.67,2.19
2021,"Seminary Hills, Nagpur",0.86,2.28,3.13,22.53,2.22
2022,"Seminary Hills, Nagpur",1.43,1.55,2.15,28.24,4.53
2023,"Seminary Hills, Nagpur",1.96,2.43,4.05,21.18,1.5
2024,"Seminary Hills, Nagpur",0.78,1.58,4.67,13.46,4.69
2025,"Seminary Hills, Nagpur",1.28,2.43,2.33,15.38,4.83
1995,"Area Code: 440013, Nagpur",1.12,1.2,4.73,20.15,2.63
1996,"Area Code: 440013, Nagpur",1.38,1.39,2.4,18.11,1.91
1997,"Area Code: 440013, Nagpur",0.87,2.79,3.59,19.67,3.76
1998,"Area Code: 440013, Nagpur",1.93,1.22,4.5,21.68,1.58
1999,"Area Code: 440013, Nagpur",0.95,1.96,4.07,14.85,3.14
2000,"Area Code: 440013, Nagpur",1.53,1.9,4.59,27.39,2.88
2001,"Area Code: 440013, Nagpur",1.96,1.15,2.01,17.61,3.4
2002,"Area Code: 440013, Nagpur",1.44,1.95,2.37,13.41,4.41
2003,"Area Code: 440013, Nagpur",1.8,2.35,3.99,21.95,1.81
2004,"Area Code: 440013, Nagpur",1.14,2.39,3.61,10.37,4.81
2005,"Area Code: 440013, Nagpur",1.77,1.52,3.85,28.46,1.38
2006,"Area Code: 440013, Nagpur",1.25,1.91,3.23,26.71,2.52
2007,"Area Code: 440013, Nagpur",0.6,1.13,2.13,18.18,3.87
2008,"Area Code: 440013, Nagpur",0.81,2.29,4.06,15.1,3.4
2009,"Area Code: 440013, Nagpur",1.53,1.93,3.01,22.38,4.91
2010,"Area Code: 440013, Nagpur",1.14,1.78,3.39,11.52,3.21
2011,"Area Code: 440013, Nagpur",0.99,1.24,3.4,10.07,2.61
2012,"Area Code: 440013, Nagpur",0.66,1.05,4.47,28.32,1.83
2013,"Area Code: 440013, Nagpur",1.31,1.56,3.48,18.73,2.08
2014,"Area Code: 440013, Nagpur",1.55,1.25,2.16,25.35,3.66
2015,"Area Code: 440013, Nagpur",1.25,1.94,3.49,18.74,2.57
2016,"Area Code: 440013, Nagpur",1.25,2.06,4.08,24.22,2.51
2017,"Area Code: 440013, Nagpur",1.12,1.75,3.61,19.07,4.56
2018,"Area Code: 440013, Nagpur",1.54,2.8,4.13,29.42,3.54
2019,"Area Code: 440013, Nagpur",1.95,1.32,2.16,21.58,4.93
2020,"Area Code: 440013, Nagpur",1.13,1.42,3.56,22.98,2.26
2021,"Area Code: 440013, Nagpur",1.57,2.95,4.69,15.83,2.31
2022,"Area Code: 440013, Nagpur",1.06,1.79,2.3,25.24,2.46
2023,"Area Code: 440013, Nagpur",1.82,2.85,2.07,29.77,3.84
2024,"Area Code: 440013, Nagpur",1.28,1.78,3.56,16.49,3.49
2025,"Area Code: 440013, Nagpur",0.64,2.24,2.83,10.35,3.21
1995,"Area Code: 382350, Ahmedabad",1.76,2.73,3.57,28.55,1.26
1996,"Area Code: 382350, Ahmedabad",0.67,2.19,3.06,19.28,2.31
1997,"Area Code: 382350, Ahmedabad",1.11,2.65,3.78,29.95,4.15
1998,"Area Code: 382350, Ahmedabad",0.91,1.53,3.01,26.87,1.11
1999,"Area Code: 382350, Ahmedabad",0.85,2.81,3.92,14.54,1.88
2000,"Area Code: 382350, Ahmedabad",1.79,2.79,2.77,18.41,4.34
2001,"Area Code: 382350, Ahmedabad",1.66,2.63,3.56,28.23,2.3
2002,"Area Code: 382350, Ahmedabad",0.74,2.42,3.62,27.09,1.32
2003,"Area Code: 382350, Ahmedabad",1.77,1.59,3.96,10.8,3.44
2004,"Area Code: 382350, Ahmedabad",1.58,1.74,2.65,20.75,4.33
2005,"Area Code: 382350, Ahmedabad",0.99,1.5,2.84,28.98,2.44
2006,"Area Code: 382350, Ahmedabad",0.51,2.56,4.1,12.57,4.94
2007,"Area Code: 382350, Ahmedabad",1.41,2,3.15,27.97,1.98
2008,"Area Code: 382350, Ahmedabad",0.93,1.24,4.28,21.91,3.44
2009,"Area Code: 382350, Ahmedabad",0.83,2.3,4.3,17.16,4.21
2010,"Area Code: 382350, Ahmedabad",1.02,2.52,2.1,21.02,4.88
2011,"Area Code: 382350, Ahmedabad",1.97,1.56,3.32,11.26,4.49
2012,"Area Code: 382350, Ahmedabad",1.35,1.77,2.34,28.94,3.12
2013,"Area Code: 382350, Ahmedabad",0.92,1.7,2.81,22.04,4.72
2014,"Area Code: 382350, Ahmedabad",1.79,1.92,4.48,18.46,2.01
2015,"Area Code: 382350, Ahmedabad",1.98,1.61,2.97,29.79,1.54
2016,"Area Code: 382350, Ahmedabad",1.64,2.87,3.54,10.05,2.5
2017,"Area Code: 382350, Ahmedabad",0.67,1.83,4.37,18.77,2.73
2018,"Area Code: 382350, Ahmedabad",1.34,2.16,4.57,16.17,4.29
2019,"Area Code: 382350, Ahmedabad",1.35,1.6,2.89,17.22,3.49
2020,"Area Code: 382350, Ahmedabad",0.85,2.84,3.72,28.4,1.19
2021,"Area Code: 382350, Ahmedabad",1.01,1.05,2.82,27.24,1.15
2022,"Area Code: 382350, Ahmedabad",1.15,1.24,3.25,26.78,3.49
2023,"Area Code: 382350, Ahmedabad",1.61,1.7,4.83,24.19,2.69
2024,"Area Code: 382350, Ahmedabad",1.14,2.84,3.73,24.13,2.67
2025,"Area Code: 382350, Ahmedabad",0.84,2.45,3.82,20.03,3.5
1995,"Area Code: 382350, Ahmedabad",1.75,2.34,2.53,28.36,1.98
1996,"Area Code: 382350, Ahmedabad",0.87,2.63,2.32,14.44,3.01
1997,"Area Code: 382350, Ahmedabad",1.75,1.29,3.64,24.22,4.44
1998,"Area Code: 382350, Ahmedabad",1.9,2.57,3.96,18.67,1.45
1999,"Area Code: 382350, Ahmedabad",1.56,2.99,4.21,10.33,2.99
2000,"Area Code: 382350, Ahmedabad",1.42,2.38,4.16,21.16,1.89
2001,"Area Code: 382350, Ahmedabad",1.91,2.39,2.71,16.45,4.69
2002,"Area Code: 382350, Ahmedabad",1.83,1.81,2.11,10.97,2.14
2003,"Area Code: 382350, Ahmedabad",1.44,2.17,3.9,24.35,1.08
2004,"Area Code: 382350, Ahmedabad",0.66,1.72,2.46,11.51,3.56
2005,"Area Code: 382350, Ahmedabad",1.72,2.51,4.45,23.32,3.94
2006,"Area Code: 382350, Ahmedabad",0.91,2.99,2.55,14.29,2.16
2007,"Area Code: 382350, Ahmedabad",1.96,2.98,4.38,22.58,3.08
2008,"Area Code: 382350, Ahmedabad",1.96,2.39,4.83,16.33,2.34
2009,"Area Code: 382350, Ahmedabad",1.78,1.3,4.84,20.15,4.71
2010,"Area Code: 382350, Ahmedabad",1.01,2.43,3.45,22.54,3.02
2011,"Area Code: 382350, Ahmedabad",1.95,2.38,2.75,28.19,2.18
2012,"Area Code: 382350, Ahmedabad",1.06,1.2,4.7,15.72,2.04
2013,"Area Code: 382350, Ahmedabad",1.88,2.61,2.42,25.39,4.65
2014,"Area Code: 382350, Ahmedabad",0.62,2.65,3.64,23.38,2.97
2015,"Area Code: 382350, Ahmedabad",1.55,1.07,4.29,10.67,2.82
2016,"Area Code: 382350, Ahmedabad",0.73,2.65,2.94,19.08,2.72
2017,"Area Code: 382350, Ahmedabad",1.66,1.96,4.37,11.47,1.77
2018,"Area Code: 382350, Ahmedabad",1.33,2.89,2.22,10.86,1.63
2019,"Area Code: 382350, Ahmedabad",1.46,1.8,4.48,11.44,1.79
2020,"Area Code: 382350, Ahmedabad",0.95,2.25,4.06,12.48,4.78
2021,"Area Code: 382350, Ahmedabad",1.01,2.43,3.57,14.46,4.38
2022,"Area Code: 382350, Ahmedabad",1.73,1.79,3.77,15.16,3.76
2023,"Area Code: 382350, Ahmedabad",0.96,2.69,2.65,10.3,2.07
2024,"Area Code: 382350, Ahmedabad",0.79,2.02,2.61,25.26,1.97
2025,"Area Code: 382350, Ahmedabad",1.56,2.16,4.96,30,4.48
1995,"Naroda, Ahmedabad",0.55,2.95,2.6,12.21,3.31
1996,"Naroda, Ahmedabad",0.62,2.2,4.55,10.96,4.2
1997,"Naroda, Ahmedabad",1.09,1.32,2.53,28.38,1.44
1998,"Naroda, Ahmedabad",1.8,2.09,2.12,19.29,4.27
1999,"Naroda, Ahmedabad",1.59,1.98,4.58,12.41,4.64
2000,"Naroda, Ahmedabad",1.77,2.42,4.45,20.88,3.7
2001,"Naroda, Ahmedabad",1.34,1.71,3.71,15.15,2.76
2002,"Naroda, Ahmedabad",0.92,1.25,2.97,27.04,2.52
2003,"Naroda, Ahmedabad",1.62,1.35,3.27,12.3,1.55
2004,"Naroda, Ahmedabad",1.43,2.21,2.64,19.49,4.45
2005,"Naroda, Ahmedabad",0.76,1.04,3.96,11.07,4.92
2006,"Naroda, Ahmedabad",1.41,1.94,3.29,21.46,1.36
2007,"Naroda, Ahmedabad",1.9,2.25,2.55,21.25,1.53
2008,"Naroda, Ahmedabad",0.53,2.26,3.95,21.67,1.73
2009,"Naroda, Ahmedabad",1.41,1.11,3.83,21.08,3.62
2010,"Naroda, Ahmedabad",1.84,2.7,4.94,29.52,4.09
2011,"Naroda, Ahmedabad",1.93,2.73,4.18,11.51,1.2
2012,"Naroda, Ahmedabad",1.76,1.98,4.44,16.26,2.59
2013,"Naroda, Ahmedabad",1.55,2.83,2.26,27.23,4.17
2014,"Naroda, Ahmedabad",0.97,1.71,2.14,10.31,2.91
2015,"Naroda, Ahmedabad",0.64,1.39,4.54,21.42,3.53
2016,"Naroda, Ahmedabad",0.78,2.66,4.6,20.47,4.65
2017,"Naroda, Ahmedabad",1.77,2.46,4.2,12.11,2.08
2018,"Naroda, Ahmedabad",0.6,1.02,2.47,27.61,1.96
2019,"Naroda, Ahmedabad",1.96,2.19,2.71,19.94,1.88
2020,"Naroda, Ahmedabad",1.98,2.69,2.08,28.96,3.88
2021,"Naroda, Ahmedabad",0.62,2.34,3.94,14.38,4.03
2022,"Naroda, Ahmedabad",0.63,1.98,2.03,29.37,4.01
2023,"Naroda, Ahmedabad",0.74,1.68,2.48,25.33,1.24
2024,"Naroda, Ahmedabad",1.76,2.88,4.03,14.26,2.44
2025,"Naroda, Ahmedabad",1.22,2.21,4.01,21.08,2.41
1995,"Area Code: 500014, Medchal–Malkajgiri",1.45,2.43,4.88,13.3,4.99
1996,"Area Code: 500014, Medchal–Malkajgiri",1.09,2.45,3.72,19.73,3.79
1997,"Area Code: 500014, Medchal–Malkajgiri",1.09,1.25,3.47,20.44,1.81
1998,"Area Code: 500014, Medchal–Malkajgiri",1.9,1.45,3.23,13.1,3.14
1999,"Area Code: 500014, Medchal–Malkajgiri",0.96,1.98,2.67,11.08,4.12
2000,"Area Code: 500014, Medchal–Malkajgiri",1.46,1.68,2.14,27.31,1.68
2001,"Area Code: 500014, Medchal–Malkajgiri",1.9,1.96,3.02,24.84,4.51
2002,"Area Code: 500014, Medchal–Malkajgiri",1.06,1.81,3.3,28.45,3.77
2003,"Area Code: 500014, Medchal–Malkajgiri",0.87,1.37,2.69,15.27,1.92
2004,"Area Code: 500014, Medchal–Malkajgiri",1.49,1.23,3.16,22.5,2.16
2005,"Area Code: 500014, Medchal–Malkajgiri",0.6,1.16,2.38,26.72,3.63
2006,"Area Code: 500014, Medchal–Malkajgiri",0.6,1.78,2.84,21.56,3.09
2007,"Area Code: 500014, Medchal–Malkajgiri",1.22,1.63,2.41,24.85,4.52
2008,"Area Code: 500014, Medchal–Malkajgiri",1.92,1.12,4.22,24.53,4.79
2009,"Area Code: 500014, Medchal–Malkajgiri",0.88,2.48,2.16,22.62,2.4
2010,"Area Code: 500014, Medchal–Malkajgiri",1.65,2.73,3.09,20.51,1.47
2011,"Area Code: 500014, Medchal–Malkajgiri",1.13,1.72,2.55,27.89,1.59
2012,"Area Code: 500014, Medchal–Malkajgiri",1.45,2.78,4.74,25.86,1.7
2013,"Area Code: 500014, Medchal–Malkajgiri",1.73,1.55,4.77,24.18,4.14
2014,"Area Code: 500014, Medchal–Malkajgiri",0.63,2.17,4.46,27.23,1.11
2015,"Area Code: 500014, Medchal–Malkajgiri",1.91,1.09,3.84,23.87,1.43
2016,"Area Code: 500014, Medchal–Malkajgiri",0.57,2.57,3.15,12.14,4.05
2017,"Area Code: 500014, Medchal–Malkajgiri",1.77,2.17,2.48,10.3,3.8
2018,"Area Code: 500014, Medchal–Malkajgiri",1.33,2.3,4.44,18.68,1.5
2019,"Area Code: 500014, Medchal–Malkajgiri",1.91,2.09,3.85,28.67,4.73
2020,"Area Code: 500014, Medchal–Malkajgiri",1.36,1.6,4.99,23.62,2.63
2021,"Area Code: 500014, Medchal–Malkajgiri",1.34,1.83,4.66,19.65,4.29
2022,"Area Code: 500014, Medchal–Malkajgiri",1.76,2.65,4.17,27.1,2.55
2023,"Area Code: 500014, Medchal–Malkajgiri",0.67,2.68,3.49,12.55,1.46
2024,"Area Code: 500014, Medchal–Malkajgiri",0.74,2.5,4.13,14.08,4.39
2025,"Area Code: 500014, Medchal–Malkajgiri",0.92,2.59,3.47,24.63,2.53
1995,"Area Code: 501401, Kistapur",0.99,1.21,2.79,12.62,2.18
1996,"Area Code: 501401, Kistapur",0.89,2.28,4.86,23.71,4.71
1997,"Area Code: 501401, Kistapur",1.68,2.46,3.24,16.5,4.39
1998,"Area Code: 501401, Kistapur",1.86,1.9,2.03,25.85,2.14
1999,"Area Code: 501401, Kistapur",0.51,2.61,3.55,23.7,4.66
2000,"Area Code: 501401, Kistapur",1.31,2.01,2.87,16.1,4.19
2001,"Area Code: 501401, Kistapur",1.17,1.33,2.28,19.46,2.86
2002,"Area Code: 501401, Kistapur",1.48,1.94,2.43,20.16,4.63
2003,"Area Code: 501401, Kistapur",0.74,2.38,3.78,24.97,1.6
2004,"Area Code: 501401, Kistapur",1.91,2.24,4.54,14.93,3.96
2005,"Area Code: 501401, Kistapur",1.67,1.79,3.15,23.16,1.37
2006,"Area Code: 501401, Kistapur",1.6,1.09,2.57,23.28,1.39
2007,"Area Code: 501401, Kistapur",1.96,2.74,3.88,26.38,4.55
2008,"Area Code: 501401, Kistapur",0.89,2.7,2.58,18.27,3.23
2009,"Area Code: 501401, Kistapur",1.57,1.06,2.87,22.17,2.43
2010,"Area Code: 501401, Kistapur",1.66,2.3,2.7,12.92,3.52
2011,"Area Code: 501401, Kistapur",1.18,1.34,2.98,16.06,1.43
2012,"Area Code: 501401, Kistapur",1.32,2.53,3.73,26.53,1.51
2013,"Area Code: 501401, Kistapur",1.15,2.22,4.03,23.92,3.92
2014,"Area Code: 501401, Kistapur",1.48,1.19,4.09,24.5,4.97
2015,"Area Code: 501401, Kistapur",1.54,2.37,3.54,27.36,4.99
2016,"Area Code: 501401, Kistapur",1.67,2.23,2.24,24.53,3.83
2017,"Area Code: 501401, Kistapur",1.66,1.25,3.96,15.91,4.04
2018,"Area Code: 501401, Kistapur",0.86,2.37,2.88,10.18,3.53
2019,"Area Code: 501401, Kistapur",0.67,2.32,4.78,29.38,1.94
2020,"Area Code: 501401, Kistapur",1.71,1.71,4.7,25.75,1.3
2021,"Area Code: 501401, Kistapur",1.11,1.67,4.36,18.21,3.74
2022,"Area Code: 501401, Kistapur",1.4,2.95,4.81,18.55,3.89
2023,"Area Code: 501401, Kistapur",1.74,2.8,2.2,16.04,2.28
2024,"Area Code: 501401, Kistapur",1.15,1.34,3.49,23.26,2.99
2025,"Area Code: 501401, Kistapur",1.5,1.13,4.63,28.78,3.47
1995,"Naroda, Ahmedabad",0.72,1.68,4.73,28.23,3.3
1996,"Naroda, Ahmedabad",1.55,2.71,4.88,19.8,3.25
1997,"Naroda, Ahmedabad",1.12,1.14,3.27,25.81,4.22
1998,"Naroda, Ahmedabad",1.84,1.1,3.58,12.15,1.8
1999,"Naroda, Ahmedabad",1.85,1.99,4.28,11.29,2.67
2000,"Naroda, Ahmedabad",1.51,1.27,2.98,11.29,3.61
2001,"Naroda, Ahmedabad",1.96,2.65,4.92,26.91,4.42
2002,"Naroda, Ahmedabad",1.37,2.04,3.22,26.36,1.73
2003,"Naroda, Ahmedabad",0.58,2.9,2.01,29.54,3.92
2004,"Naroda, Ahmedabad",0.99,2.4,4.45,14.91,4.08
2005,"Naroda, Ahmedabad",1.71,1.5,2.13,14.08,1.8
2006,"Naroda, Ahmedabad",0.6,2.45,3.14,27.69,2.01
2007,"Naroda, Ahmedabad",1.18,2.28,4.63,20.49,2.49
2008,"Naroda, Ahmedabad",1.8,1.62,2.24,18.9,4.14
2009,"Naroda, Ahmedabad",0.55,2.17,3.78,28.57,2.15
2010,"Naroda, Ahmedabad",0.92,1.88,3.07,24.73,3.57
2011,"Naroda, Ahmedabad",1.64,2.64,4.77,18.62,4.94
2012,"Naroda, Ahmedabad",0.82,2.43,3.6,26.34,2.91
2013,"Naroda, Ahmedabad",1.68,2.86,4.2,25.52,1.27
2014,"Naroda, Ahmedabad",0.81,2.95,4.08,21.23,2.47
2015,"Naroda, Ahmedabad",0.57,1.74,3.5,14.23,1.69
2016,"Naroda, Ahmedabad",1.26,2.17,2.72,21.75,4.6
2017,"Naroda, Ahmedabad",1.21,2.71,4.78,11.85,1.38
2018,"Naroda, Ahmedabad",1.21,2.18,3.28,16.53,3.56
2019,"Naroda, Ahmedabad",0.5,2.94,2.7,28.34,1.44
2020,"Naroda, Ahmedabad",0.86,1.47,4.99,10.09,3.56
2021,"Naroda, Ahmedabad",1.8,2.34,3.09,29.17,4.57
2022,"Naroda, Ahmedabad",1.15,2.15,4.9,29.65,2.8
2023,"Naroda, Ahmedabad",1.77,1.6,3.12,13.3,1.84
2024,"Naroda, Ahmedabad",1.49,2.02,2.69,18.06,2.49
2025,"Naroda, Ahmedabad",1.98,2.71,3.16,28.28,2.37
1995,"Area Code: 462001, Bhopal",1.14,1.71,4.99,20.64,2.5
1996,"Area Code: 462001, Bhopal",1.08,1.39,3.54,18.78,2.08
1997,"Area Code: 462001, Bhopal",0.74,1.62,3.53,11.17,1.61
1998,"Area Code: 462001, Bhopal",1.92,2.09,2.19,23.86,1.25
1999,"Area Code: 462001, Bhopal",1.61,2.5,3.95,24.64,1.35
2000,"Area Code: 462001, Bhopal",1.59,1.27,3.02,28.85,3.01
2001,"Area Code: 462001, Bhopal",1.95,1.18,3.43,11.25,3.52
2002,"Area Code: 462001, Bhopal",0.62,1.35,2.78,24.97,1.66
2003,"Area Code: 462001, Bhopal",1.77,1.26,2.11,17.9,4.92
2004,"Area Code: 462001, Bhopal",0.67,1.2,4.25,16.24,3.87
2005,"Area Code: 462001, Bhopal",0.8,1.92,2.8,19.03,4.08
2006,"Area Code: 462001, Bhopal",1.64,2.03,4.79,15.28,1.96
2007,"Area Code: 462001, Bhopal",1.42,2.24,2.14,22.16,2.5
2008,"Area Code: 462001, Bhopal",1.62,2.62,3.66,10.03,3.55
2009,"Area Code: 462001, Bhopal",1.62,1.5,3.39,29.31,2.19
2010,"Area Code: 462001, Bhopal",0.83,1.42,3.68,29,3.43
2011,"Area Code: 462001, Bhopal",0.95,2.28,3.87,21.94,1.64
2012,"Area Code: 462001, Bhopal",1.45,1.86,2.06,20.8,4.96
2013,"Area Code: 462001, Bhopal",1.02,2.93,2.29,24.65,1.46
2014,"Area Code: 462001, Bhopal",0.91,2.14,3.78,25.5,3.46
2015,"Area Code: 462001, Bhopal",1.39,2.82,3.36,14.51,1.65
2016,"Area Code: 462001, Bhopal",1.1,2.43,2.13,12.58,1.42
2017,"Area Code: 462001, Bhopal",1.38,1.49,2.5,21.86,4.05
2018,"Area Code: 462001, Bhopal",1,2.16,2.29,28.7,2.35
2019,"Area Code: 462001, Bhopal",2,2.96,4.34,10.4,3.17
2020,"Area Code: 462001, Bhopal",0.63,2.79,4.37,29.45,3.43
2021,"Area Code: 462001, Bhopal",1.28,2.04,3.16,19.37,3.54
2022,"Area Code: 462001, Bhopal",1.9,2.19,4.57,27.26,3.08
2023,"Area Code: 462001, Bhopal",1.02,2.28,3.34,11.63,2.51
2024,"Area Code: 462001, Bhopal",1.99,1.1,4.09,26.82,3.59
2025,"Area Code: 462001, Bhopal",1.35,2.42,3.29,11.83,4.85
1995,"Area Code: 800001, Patna",0.54,1.88,3.53,22.14,2.1
1996,"Area Code: 800001, Patna",1.14,1.97,4.06,25.47,3.95
1997,"Area Code: 800001, Patna",1.01,3,4.55,15.2,1.78
1998,"Area Code: 800001, Patna",0.97,1.9,4.55,25.57,4.4
